Series Number,Filename,Name,Description,Gender,Attributes- Hair. Eyes. Teeth. Clothing. Accessories. Expression. Strrength. Weakness,UUID,sha256
106,nonso-the-igbogirl,nonso the igbogirl,Nonso is an Igbo girl that loves money,female,"hair: deep brown packed up, strength: a core traditional igbo girl, weakness: materialistic",5cfa76df-8376-4505-af12-78af24f108d6,79ba557f2b6398127d39069c3df904991bc7c64dba023e5ac6c900348751f550
107,shade-olori,shade olori,Shade loves soft life and makeup,female,"hair: deep brown hair, strength: beautiful dark skinned, weakness: does not know how to cook",1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,fc36468181a0fb03e0b0ca0286d4344a5c14862a15bf9049a441c935192f87f7
108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics,male,"hair: bald, strength: devoted muslim teacher, weakness: lack of good grammer",d96a93e7-17a4-4efe-b09b-02185cc81ce8,e4eeffaf7e3a683c188581ce004078219e2c96bccc6ac6e96c8943bbcd182d8d
109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events,male,"hair: red cap man, strength: has taste for good music. weakness: dosent play english songs",030f665d-2cd7-4376-aef5-4030dad9f2d6,e88324554de6833aa2bff8742584bcab4bb065b46c14bbe3bad4cc4fc6ed4824
110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a youruba demon that breaks hearts,male,"hair: bald, strength: good command of English, weakness: loves women alot",e270e278-a9b5-408d-b527-d518239a997b,b7f5e0f78dcc0420d3750ef765cc13072f608547e2c4125dc76abbfd41f5fdab
111,nkechi-the-actress,nkechi the actress,Nkechi is an internation actress that acts in hollywood,female,"hair: dred purple, strength: good actress, weakness: rarely appreciates",34b1136d-00b1-4f29-8a03-5b02291d47d5,a64a1b959fda807e96abbc853ebb8235a8ed98aed531e402a63d6a10318aed38
112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam that changes money,male,"hair: milk hair weavon, strength: sings beautifully, weakness: does not know how to greet",592eff9f-93b2-4452-a2ed-5d44ebc969db,1e5872824ba3447104a1081a7cab87d9c94465c593b8dba24f6a872d083ca610
113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty,female,"hair: brown bob marley, strength: very beautiful, weakness: insultive",d9477612-ad63-408e-8d12-24679c647b32,49f7b43c66762674ef1ca9f24133a47ad32fde30fdbff7885c3f2f02eb925a5a
114,tunde-the-boss,tunde the boss,Tunde is a boss that orders her helps around,male,"hair: yoruba cap, strength: traditional man, waekness: dosent speak english well",7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,72e24057f4c947ee49895f6094e86cbc12c851385fe8d6b7457cc61228fa1a0e
115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a baber that does celebrity haircuts,male,"hair: brown punk, strength: strong physically, weakness: drugs and gambing",152758f3-9414-45a2-a809-95cb05a3de13,d6c7de23fc6325bfe8f551ee244d11a744bb67f3bb4ab629462778b27c27ebe3
116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is a very hyper that she hypes in the clubs,female,"hair: brown curly wig, strength: cheerful giver, weakness: abusive lady",c7726e84-3c5c-4e66-8677-cbfb5c9ee850,8cec620245ba280702e148efb918f3f8885ba48c286dc20630fe9fb953db97d9
117,kemi-foodie,kemi foodie,Kemi loves food but cannot cook,female,"hair: black hair covered partly with scarf, strength: sawag, weakness: cant cook",3116cb6f-14c4-4d5a-af57-54253b72a309,1f0762283ad074af188c8c864946561bf155c72391dc1bb0bd8a38c48ca164f5
118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths,female,"hair: brown curly wig, strength: understanding and petite, weakness: lack of personal communication",a14df1c1-7a5a-4a33-8780-0fb01c593da6,7d82f6ee056f2e231c4028b0ac2b120e5c4feee90440c6fa3287b059f3672404
119,kayode-the-baller,kayode the baller,Kayode loves life and lives it,male,"hair: bald, strength: swag and life of te party, weakness: dosent have a job",fe17bfdc-c251-4654-8313-1ab793e11748,09d3bbaffc2d0607ccec067762471a9a9aa5d7f7f086d6d000c4bacc7fc0de5e
120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is,male,"hair: bald, strength: swaggy and loves fashion, weakness: lack of cordination",df295be1-1509-406e-a263-28a5dee0abca,769ebb4b345c40871f061361e66b4a0bbdf9f7c0b60c2efa72502c3842fd5de5
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM BRAINBOX,,,,,,
121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",7ebde325-8efc-4997-811a-b5686269929e,a02e9e0f73ec7c6f60d5f6a5e60bc040a6de153aa52f803d154d0f67b9ceb8ce
122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is so hilarious ,Male,Cloth:ankara ,c136a120-a339-4080-96ca-1c93845c5848,c00caf6f315a9bf520d464e5a6c5f25babfd6a8e88992fc5253590906227996f
123,yakubu-village-chief,yakubu village chief,Yakubu is the village chieftain,Male,Gap tooth ,5b0c0d26-d204-4264-b579-081ff9df935b,2935bb696fd1b2d050c734d1ec2fafee521ad20cefa52dbd5770d56c247f5ef6
124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking pipe,Male,Pleading eyes and a pipe ,8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,bc97dff9271a847145bdbac8a2c87be98c05a0821b2151a58083c35449b36b97
125,johnathan-good-leader,johnathan good leader,A very progressive young man with positivity ,Male,Agbada attire,241e3713-4ce3-48d0-827f-b282ae2db6c4,e506e8b76892f5322f0f6e5cad8d763cc96f7e8b9557cf2bfdeaa886963227cf
126,johnathan-genz-kid,johnathan genz kid,"A child of the moment , all fun and cruise ",Male,Hair; high ponk,90c0ae09-a35f-42ad-b93c-dcf30169acd9,99f042c3c2b6a2697a9473708fad8f1f075bee98c3f05fcd331fb87e5c01369a
127,eddy-the-community,eddy the community,Man of the people ,Male,Two teeth and kaftan attire ,5cabf9d9-882b-459e-9253-8c07eb045e2d,ff397e41199a929d3bd8df25e8224857763d51cba4b17be162354c85009cba9e
128,olu-the-oba,olu the oba,The oba of Ofuk kingdom ,Male,Pleading face,04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,0974203b87528652604b9a6d8c24a13a1f4eb05d5c207925ba361d3d251db10c
129,edu-the-biggest-trader,edu the biggest trader,The biggest merchant in west coast ,Male,Blue eyes,48d1de5f-5f3f-46aa-b2fd-68420a8e802b,bbdd6eb33006c8b59ae2d57e90f7df3e72698e61d1c76da55fba38d5379b6ce1
130,james-importer-and-exporter,james importer and exporter,Sole importer and exporter of spare parts in Africa ,Male,Blue eyes,22541251-022f-480c-8c1e-cf754dce16d6,5196eb358d41f42832388bc75579b22445e7c38f393dfa63383bf9aa6176d76f
131,lanre-the-dreaded-guy,lanre the dreaded guy,The wayward tout,Male,Bandana head scarf,66a054cd-5541-4000-98aa-8f2e9892d880,eddff02882f4ca3eff9a52c533bb3b71be46a5db196c3265888b70972a7c67bb
132,olamide-the-street-boy,olamide the street boy,Friendly street gang,Male,Gold teeth,d50a35b1-b42e-4e0c-8dd8-9b892b56d371,5bdc5c7051160d99a356984844a302be28fccf2a4421ecc4536b3a2409c44c12
133,uche-peace-loving-man,uche peace loving man,A man of peace and discipline ,Male,Beard,6c9d6eae-2ea2-468c-a2c8-928aaafc084b,92d298fe6988ac0f8d685c8f54b73a07e5fbb48be35c5c720e13e807676ca8f9
134,dave-the-tech-bro,dave the tech bro,Dave the web3 geng,Male,Beard,c0857b11-bf0e-46a4-9108-b8eb93d83e74,91382a55e0a78bec3dc18298d1294569dc5aecc6d69e51ea50280c59a3c3bf3b
135,obi-the-biggest-humanitarian,obi the biggest humanitarian,The biggest helper during the pandemic ,Male,Gold teeth,201a408c-7a2e-42d9-a62c-0136c885c211,01ff65963fc697895e727c9641787b059bb3497219903c1c32beb24159fb3e51
136,precious-the-emotional-girl,precious the emotional girl,Soft hearted and sensitive precious ,Female,Brown hair colour ,b6a41ff1-51ce-42f7-9933-85d0a22ced68,e4fc5f75f754395109baf29a89051a71ec1f32ee1931d806a1f8ef4b1c424994
137,ella-serious-minded,ella serious minded,Ella a dedicated young lady ,Female,Purple hair colour ,04036447-f43e-4bfb-9503-f55c9064b14e,841c4cf9486b397011f3ad08bd6bbd1e3fc4f126872266386cdb8a87a23225d0
138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with a priceless cute eyes,Female,Long hair ,5d12847b-6d71-4691-8337-2e6ef3e283b2,518a1c61eda801108431b29bccb86c97b5eafd6b444f16e94f9ab50a1c2163bf
139,mary-with-hair,mary with hair,Mary with her beautiful Afro ,Female,Brown hair,98035e8b-6540-4464-8a3c-fdac9f07b168,846b5725874341b4040df1d27f03710e3666745a6abed5811a3734298c7c93b8
140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum,Female,Black hair ,15309dc5-e483-4658-b503-db85ba2c1722,8603203c081d7cdca1d43eb3a762f25d80a033089e675027a7f0dcd6f0b4d96e
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM PLUG,,,,,,
141,viganem-the-drummer-girl,viganem the drummer girl,she loves jumping a fence to play drums after school,female,,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,bd8ca69c3147f61241d99496cd6700c637ab3974204219d639ad0adedd8263dc
142,lenusuka-the- big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi,female,,e564a43a-ef77-487d-a88e-749d20a09fd8,91ddcabd7668d4ad5118a21f867b95286f0f556f341a6895d161c8b815cf673f
143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants,female,,6dc7e452-0626-4f4c-a28c-f5db3532e305,84059af7c9721577cca1dfae4cc36214953a82bffb688a6db45640937794bb5a
144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water,female,,221263d0-8775-49f8-bbf8-4b08b49e1482,ba61c831274c215519fd07b374a7b8c655c159e1d1cf615f56cc9c63f889c33f
145,akinyim-the-agbaya,akinyim the agbaya,Always playing with small childrens and mostly small girls,male,,c1070dce-48a1-4ae8-b9a4-d070859a8377,c1cc905c8b02d82fc88eda0acea1b457c79263b743a724a6e2da019b6b96ad84
146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs,male,,c22489fe-574b-47f3-9667-c9c798b2d4df,e306e9947a58f267a1494ceeea716b0ce500c16168a02761122b53d17d22a0d0
147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself,male,,1a91e778-d214-476b-a667-94e9ecb8b5ce,25766d8e1149e2bb0676c7b5edaf49e182da8837bd9d894e6bb71f06bd36d0c2
148,naserian-mr-fear-fear,naserian mr fear fear,Has never slept with anyone and can not kill cockroach,male,,8177cf38-8284-4eb4-b19c-04473bcb3b5e,21a5bafa1efd3ed0892ff9f67d668937a6dba824882be78b55867fb9b6bfb847
149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere,male,,0554bf35-f588-4009-aafc-ef875b878c29,b53516b4e4e1ded158bd76a6cb1c6d928e3c752626bc3bc2a6aef8a8063f3e88
150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt,male,,33ba8e73-7949-4bc7-ba27-37ee1d573946,c80887c97b06332ea9bde4abba1d6d879bcc0bf894b44afc11fae5e6896e4c72
151,rehema-the- olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school,male,,1fb33783-4898-48cf-8a73-f81afc71e1a8,25235d18fa31412f60755ab4b00d9aaaf55b4c1777d06a6776d1df4a86ec3bfa
152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech,,,7ba909bd-19a1-454d-a86c-a45e85cb94a6,cf00df8641b15cfb878db0a4043a4edfcf86c1388254949f5f836e42c5aad18f
153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5,,,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,3bccc04682a937ce90e25333f515c4ec5b1a6e1fda4a070a1373c1234ea12561
154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly,,,36cd959f-d280-41f6-af76-765715c72527,4da217c15672d0709320e95532c847811105ab4e7d23a80a63d0128565411acb
155,ajobaru-a-serial-killer,ajobaru a serial killer,High end assasin who cannot survive a day without sex,,,9d262f55-73d7-4b95-9a82-42356dbb085c,0bab854910d6648e14d80aa6a8120372e6145536fa338f3753575328b3c4465a
156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight,,,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,9d99f8bf35b6c8a302e752038e00a111edc01059125e32567cfd1b7fe07c58fb
157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid,,,88106b92-da30-46ad-a3cc-d528683b9e33,d7786c29c6f0e45e309c236c67c7b704d5fdd7e2fe60ed6b4d75efdec5f8e413
158,dogbeda-the-monger,dogbeda the monger,A fisherman who pracitically live in the river,,,66a09968-cb92-4378-a588-49947f68c537,40103e8f7fb9ace55837a8e5b80e6e8db9c9d384c26c0705b22b14181e31ff2c
159,enyonyam-our-slay-mama,enyonyam our slay mama,Posts new pictures everyday and can snub for africa,,,5e7c7f9d-d631-4759-9b27-cbaccd33d39f,a5dd61e7e626813a3efa10c4a8eb7a1e02ffb496bc33640493f7c4fd3078d779
160,lumusi-pro-technician,lumusi pro technician,The electrician well known for wiring burnt buildings,,,b07676a6-c611-410d-8426-46c9c525189a,c1f6c0c99701a424a02d145a3b990d734b00887920b956e57ee68cf19f65ad3c
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM HEADLIGHT,,,,,,
161,funmi-the-fashionist,funmi the fashionist,funmi enjoys fashion and she always takes opportunity to showcase her wardrobe,Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,cf69c6bbf4cf5004c046a0c7f0d0bc85bd99cd30bb5bbaace3b2268f5454b429
162,bola-the-funky,bola the funky,Bola is a funky fellow but she has another personality no one knows,Female,"hair: Purple shuku, eyes: none, skin color: light brown, teeth: none, clothing: adire top, expression: neutral, accessories: eye glasses, strength: caring, weakness: snake",ac721b71-cbc5-425c-851f-ee826973f0b9,83f612e968e388d43e480e3bd9e994653b317bcaf2d754c74101069a5818db6f
163,bimpe-the-runzgirl,bimpe the runzgirl,"be careful with bimpe, she can run you strong thing",Female,"hair: Purple dreadlock, eyes: none, skin color: light brown, teeth: none, clothing: one arm ankara, expression: mischievious, accessories: eye glasses, strength: humanitarian, weakness: opposite sex",eaa7662f-6926-468a-9add-e791916ae42b,fefe302e9bc8b689817cca7fff6e645e90d0be28e21a2a71232cc6afa96be13e
164,sola-the-queen,sola the queen,sola is a princess. she's got the mind of a queen,Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",d5f23ad3-832a-4d3e-814e-e23f466d18a4,343c5af31a0e2945c9ea217307d04d72e39adc425626d16e803a89547b5a964f
165,temi-afro-girl,temi afro girl,"temi is know for her funny haircut. this time, afro is up",Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,de639bb14d7aba8e94556a1e341a146df3c91752524ffceab6654f6219e3704d
166,jonny-the-bravo,jonny the bravo,jonny is our local police. he breaks boys free,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",2b345988-b4b0-453b-ad39-efe1321bc8f1,c9bc6cbda83f6de41f305af850f1b9affdc99e75aaad3f17b32f3c96636d03b0
167,tunde-the-bigman,tunde the bigman,tunde is the big man on the street. flamboyant life style is his identity,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",56db423e-8b09-453e-b5fc-61f4da9d7a6f,009f27ebf7755e580078fae75988638e158d003d71994e3ab5d03ed3b50d31fe
168,joe-the-plain,joe the plain,plain and simple. no one in town is more gentle that broda joe,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",7a3083bd-5aa2-48b5-a30b-4445cc060f57,5c93d41b82c18e6919da31505736905e7c855c02d23864193bc279e90f624cca
169,wale-sharp-guy,wale sharp guy,wale no de carry last. the thinks and act fast,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",44906ea0-901b-4b3d-802f-f73acc8758f6,a6433b4767e0a8b4d6cb6710c0f76f26b185522ef0779d3b10f8112c3900b2e2
170,dele-the-snoozer,dele the snoozer,"if sleeping were to be a job. dele will be the world busiest man. set a bed in a fury furnace for dele, he'll sleep.",Male,"hair: low cut, eyes: closed, skin color: butter colro, teeth: gapped teeth, clothing: agbada, expression: snoozing, accessories: none, strength: loving, weakness: sleep",4f9d99a4-78a2-4fdd-bc30-b027600fa88e,4e9b2d4eac7e653fc22304ace07872619371fc369eaa0f52f8b540e8f338b2e8
171,father -of -tolu,father of tolu,baba tolu is a proud father. he will sell his soul just to see tolu excel in life,Male,"hair: none, eyes: black iris, skin color:dark brown, teeth: long front tooth, clothing: ankara, expression: fearfully, accessories: head cap, strength: fatherly, weakness: women",a2651258-ca3f-4940-b095-3a61ff630263,702a3d9b22223b70a995896abefe012749a0d68e3a3b2b56689a03993f126229
172,emeka-the-chief,emeka the chief,chief emeka is the pillar of the community. just and fair to all. the real mazi,Male,"hair: none, eyes: black iris, skin color: dark brown, teeth: full white teeth, clothing: wrapper wrapped around body, expression: smiling, accessories: head cap, strength: leadership, weakness: anger",de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,ce79511cf3652b54113eff16f3be908279dae3003aceaf9d1ad60ccbec7ff2b8
173,lawal-the-drooler,lawal the drooler,"lawal has only 2 business, alcoholism and alcoholism. it's only normal for him to drool afterll",Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",806b640f-1c8b-4cc0-aa10-45f3ddc00140,41b533ca74e3728385fa41ccbea88ba4400b4f82f635021d4d130f0cb611c837
174,solo-the-messenger,solo the messenger,"solo is a multitasker. you need anything done in your home, solo is your guy",Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",44906ea0-901b-4b3d-802f-f73acc8758f6,63144b1bb1de6f4ac51c4eb8264dcf4aa9e63b0ace3c214053885c762622e195
175,femi-the-honorable,femi the honorable,honorable femi is the modern day politician. everything he does is only to further his political career,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",af53bf52-b517-4347-adc6-07cf30c19025,0d2bae70cdcc7383e81c91413dd694b71ec4506186b70ffda23fac7d714f64a0
176,friday-the-bigsboy,friday the bigsboy,friday always live up to his name. every friday is for the party.,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",05ec3aae-7da8-4125-93fb-6fc544e5bc61,31eb7ed1c54474064056062e08ac47aa4029e80912c8b5954df3b623e9b714e6
177,kweku-the-planter,kweku the planter,kweku says he did it. kweku dey plant Igbo until he was bursted,Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",af53bf52-b517-4347-adc6-07cf30c19025,ec4a0890fcaee0be817e6664bee4190c1f6ea71c01917a2705a4435f13626b3c
178,2pac-the-remix,2pac the remix,2pac is alive in him. his style is exactly the same. upcoming artist,Male,"hair: none, eyes: blue iris, skin color: brown, teeth: gapped teeth, clothing: Igbo clothing, expression: surprised, accessories: face cap, strength: hardworking, weakness:fear",9993e5ec-2f31-485c-9c6d-f780c078ae56,b85332e9b1a9330fccfe1ecf888479fb1ae5d5c95aeb3a159a9c85e10a7afd4e
179,tope-the-influencer,tope the influencer,tope is a famous influencer. loved by his followers which keep growing everyday,Female,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",3b3e1f66-922b-4f87-8cdb-0d09fc143182,47512a1ff37520c0fc4a434810fa8e39e7c61bc7f1034883d092db3929984275
180,gabby-the-evangelist,gabby the evangelist,"evangelist Gabby, blending gospel with comedy. he's going places",Male,"hair: hjsvsus, eyes: jdhddvd, skin color:gjsdg, teeth: hdkvdn, clothing: hddjvd, expression: hdueve, accessories: hveir, strength: hdkne, weakness:nkeh",ac721b71-cbc5-425c-851f-ee826973f0b9,60134af472cc440b398838281dae9235aca7aab230eade1148e625efab7680b3
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM CRANKSHAFT,,,,,,
181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood,Female,,7241a1be-59da-11ed-9b6a-0242ac120002,157627cfdabe137eee19b5d589a355ca34e4f909a245e22e11635571772a97c9
182,lola-babe,lola babe,Looking hot as always,Female,,7241a664-59da-11ed-9b6a-0242ac120002,5968c32aa36cc043f0ad3ac5616bc2c757f8c494bb3b9856f69f26dc1c83ab91
183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends,Female,,7241a7c2-59da-11ed-9b6a-0242ac120002,df00f4a8d849b4333432508219e3113951333c87e76d703332d04fc0d5ae2c34
184,bella-the-baller,bella the baller,Baller for Life,Female,,7241ad26-59da-11ed-9b6a-0242ac120002,e69f7b9a8073fe980fc5d3dd066ae32548f2bb0ddf8cb66eec7af08a65ca2136
185,milly-of-roses,milly of roses,Her lips so red like a rose,Female,,7241af92-59da-11ed-9b6a-0242ac120002,56ce53d2e6aeffd6ac5fe4faa12b60a407b5e21a6996c100a6085230bfaa058a
186,Preciousjada-the-viper,Preciousjada the viper,Her words stings likes a viper,Female,,7241b12c-59da-11ed-9b6a-0242ac120002,32528566abe549839a8d45f35c450a026a1f10ce7ee89158392d572f431c4ebc
187,lolly-of-NY,lolly of NY,Most popular in NY,Female,,7241b2ee-59da-11ed-9b6a-0242ac120002,e9b8fe9f38b12e85460587b65207e4c391cf7c6570146f9cca71aa584cdeb92e
188,Disy-the-dancer,Disy the dancer,Dances her way into any show,Female,,7241b4c4-59da-11ed-9b6a-0242ac120002,258a569ac1300038a75d1744c658483dc9008ab80538375d93000a88dc422e7e
189,Jenny-the-great,Jenny the great,The greatest of our time,Female,,7241b852-59da-11ed-9b6a-0242ac120002,037e8795184150c971656c5a15b8979caecbc791e8120e03c56d9c6c03b0c741
190,lolly-the-pop,lolly the pop,Seeing lolly makes me pop,Female,,7241ba00-59da-11ed-9b6a-0242ac120002,235e7c8bcba2daf7fdfdf343d82891d0500aeb6115d384f60c2022d49499d229
191,disy-the-queen,disy the queen,The queen in her own space,Female,,7241bda2-59da-11ed-9b6a-0242ac120002,f350138dcd4cba90c112e91cc6583cdeddbc2edf967239169663e3c185f4cada
192,JennyP-of-Lagos,JennyP of Lagos,A well known celebrity in Lagos,Female,,7241bf1e-59da-11ed-9b6a-0242ac120002,46d1ddc306c5fd11254ef018831bd4e57fddb4f65074860d0c1ce96e3269c428
193,Jada-of-life,Jada of life,Her business signature,Female,,7241c202-59da-11ed-9b6a-0242ac120002,03a49d4489d14f24cbe5fc866e793acbdfc1f6dcaafba0c88b4e01037d7c1c3d
194,Sandy-the-rapper,Sandy the rapper,She just loves to rap,Female,,7241c342-59da-11ed-9b6a-0242ac120002,72c43416e00148ca181d33fa52e955632322bfce329b89bbc8db08b3b5423e7d
195,Dahila-the-genius,Dahila the genius,The genius in the family,Female,,7241c4fa-59da-11ed-9b6a-0242ac120002,2fa7a33543594bc1b282a3006593701baa3050cc95cc373ad94ca6bc670ae231
196,Rosemary-of-Yaba,Rosemary of Yaba,She has a cloth store in Yaba,Female,,7241c61c-59da-11ed-9b6a-0242ac120002,a6a9ec4f763b185b60bb492919bf11a6e3993d062523936a4a4374279300c1da
197,Jennifer-of -island,Jennifer of island,She goes on vacation to the island,Female,,7241ca18-59da-11ed-9b6a-0242ac120002,37b3feae884fdf4928dfbda5c3fb02b0c760663d8ec2c5b9bb6c7caba6d8a83f
198,Opeyemi-of-lekki,Opeyemi of lekki,Opeyemi lives in lekki,Female,,7241c8e2-59da-11ed-9b6a-0242ac120002,fdf5dbc2f13f2b6e8c4d4b9fa46f9a32a0309b96eedfbff9cb6f6a26fbab9924
199,Vicky-the-artist,Vicky the artist,Brings life into what she draws,Female,,7241cb3a-59da-11ed-9b6a-0242ac120002,c94b72399c8464869b166e1b779569c4e5ebc149b71f567f72c07218d7e9cc1d
200,Afrogirl-sailor,Afrogirl sailor,She loves to sail the ocean,Female,,7241cc66-59da-11ed-9b6a-0242ac120002,6b1618f9ac7905ee2310ec522d9163e61f1c4ac471531c69bfce9689ea25ccbd
,,,,,,,09909994ca7547fe185e951b116173e02001e4739fc9b778b3ed175dbab2911a
TEAM GEAR,,,,,,
201,Ahmed-the-merchant,Ahmed the merchant,A rich merchant that sells in babylon,male,"hair: none, eyes: black, teeth: none, clothing: none, accessories: none, expression: unknown, strength: unknown, weakness: unknown",bfb62844-59ca-11ed-9b6a-0242ac120002,53667b370abe0e6dfdf213970fcf14e8cb7b65d7d867bcb70a848a2686317868
202,Blind-Tonia,Blind Tonia,A girl that lost one of her eyes in a street fight,female,,bfb62c86-59ca-11ed-9b6a-0242ac120002,e354e3dc7aaec98f866fa07f44921eebee74f890b24a617f3a2283ce9d748239
203,Buffy-the-vampire,Buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life,female,,bfb62e02-59ca-11ed-9b6a-0242ac120002,ff41a18d3cea38b0e7146c37ccd373805d074de1f0ffdedfe13957b639b93326
204,Caro-lipstick,Caro lipstick,"A girl that puts on lipstick always, even to bed",female,,bfb62f4c-59ca-11ed-9b6a-0242ac120002,0a66b9d31feb2e1f40d9c0f580a90fa127001043b77a7bb068a5f677e93e9aa7
205,Charity-the-maid,Charity the maid,A maid that works for the fun of it,female,,bfb63096-59ca-11ed-9b6a-0242ac120002,74e9fd1c66e778038ea5e2928fec7589e29b3483af116ff81ef0f11e6cf5cb10
206,Charity-with-fakehair,Charity with fakehair,A girl with a bald hair but always wears wig to cover her head,female,,bfb631c2-59ca-11ed-9b6a-0242ac120002,b68a361a28a999cfd342b5888cbb2c9ca7f79907abdfc84288e669e2c16d6f29
